uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,positionalaccuracy,effectivestartdate,effectiveenddate
200000530482,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,88,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BS,"88, PRIORY ROAD, DARTFORD, DA1 2BS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.0,0.0,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,200000530482,1,10500558,Manually Matched,2215,DARTFORD,E07000107,553738.42,175072.23,51.4537639,0.2113004,General Internal Position,2001-09-13,NULL
10093432461,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,THE SPACE,NULL,KERNICK ROAD,NULL,PENRYN,NULL,TR10 8NT,"THE SPACE, KERNICK ROAD, PENRYN, TR10 8NT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CC08,Community Service Centre / Office,Commercial,Community Services,Community Service Centre / Office,NULL,Built Complete,2016-02-04,Approved,A record which has a classification indicating that it is capable of receiving mail but is not linked to a Royal Mail address,NULL,10093432461,1,6101071,Manually Matched,840,CORNWALL,E06000052,177510.27,34182.05,50.1658110,-5.1167952,General Internal Position,2016-02-04,NULL
100040035920,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,27,PERMARIN ROAD,NULL,PENRYN,NULL,TR10 8BU,"27, PERMARIN ROAD, PENRYN, TR10 8BU",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),NULL,Built Complete,2018-09-26,Approved,A record which is linked to a Royal Mail address,NULL,100040035920,1,6100485,Manually Matched,840,CORNWALL,E06000052,178435.00,34606.00,50.1699648,-5.1041136,General Internal Position,2001-04-04,NULL
100060864599,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,67,HOWARD ROAD,NULL,DARTFORD,NULL,DA1 1XS,"67, HOWARD ROAD, DARTFORD, DA1 1XS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060864599,1,10500332,Manually Matched,2215,DARTFORD,E07000107,555360.12,174033.53,51.4439884,0.2341667,Central Internal Position,2001-09-13,NULL
100040069506,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,23,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"23, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069506,1,18600292,Manually Matched,840,CORNWALL,E06000052,176739.28,34331.16,50.1668602,-5.1276615,General Internal Position,2001-04-04,NULL
100040069488,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,3,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"3, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069488,1,18600292,Manually Matched,840,CORNWALL,E06000052,176680.41,34364.89,50.1671409,-5.1285043,General Internal Position,2001-04-04,NULL
10009432157,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,73C,PRIORY ROAD,NULL,DARTFORD,NULL,DA1 2BS,"73C, PRIORY ROAD, DARTFORD, DA1 2BS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.0,0.0,RD06,Self Contained Flat (Includes Maisonette / Apartment),Residential,Dwelling,Self Contained Flat (Includes Maisonette / Apartment),NULL,Built Complete,2012-04-18,Approved,A record which is linked to a Royal Mail address,200000530468,200000530468,2,10500558,Manually Matched,2215,DARTFORD,E07000107,553800.00,174930.00,51.4524694,0.2121242,Central Internal Position,2007-06-20,NULL
100060864627,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,105,HOWARD ROAD,NULL,DARTFORD,NULL,DA1 1XS,"105, HOWARD ROAD, DARTFORD, DA1 1XS",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2009-02-27,Approved,A record which is linked to a Royal Mail address,NULL,100060864627,1,10500332,Manually Matched,2215,DARTFORD,E07000107,555405.03,173960.77,51.4433223,0.2347805,Central Internal Position,2001-09-13,NULL
100040069513,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,30,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"30, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069513,1,18600292,Manually Matched,840,CORNWALL,E06000052,176771.20,34333.80,50.1668959,-5.1272168,Central Internal Position,2001-04-04,NULL
100040069520,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,37,SUMMERHEATH,NULL,MABE BURNTHOUSE,NULL,TR10 9JT,"37, SUMMERHEATH, MABE BURNTHOUSE, TR10 9JT",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2018-05-01,Approved,A record which is linked to a Royal Mail address,NULL,100040069520,1,18600292,Manually Matched,840,CORNWALL,E06000052,176759.62,34286.34,50.1664653,-5.1273508,General Internal Position,2001-04-04,NULL
9051081493,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,LEISURELAND,18,NETHERKIRKGATE,NULL,ABERDEEN,NULL,AB10 1AU,"LEISURELAND, 18, NETHERKIRKGATE, ABERDEEN, AB10 1AU",Scotland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CL01,Amusements,Commercial,Leisure - Applicable to recreational sites and enterprises,Amusements,NULL,Built Complete,2009-10-01,Approved,A record which is linked to a Royal Mail address,NULL,9051081493,1,7601064,Manually Matched,9051,CITY OF ABERDEEN,S12000033,394282.00,806326.00,57.1477671,-2.0961415,General Internal Position,2002-08-07,NULL
100040151309,2025-09-23,2025-09-24T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,LYMORVA,NULL,HIGHGATE HILL,NULL,INDIAN QUEENS,NULL,TR9 6LY,"LYMORVA, HIGHGATE HILL, INDIAN QUEENS, TR9 6LY",England,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD02,Detached,Residential,Dwelling,Detached,NULL,Built Complete,2007-09-17,Approved,A record which is linked to a Royal Mail address,NULL,100040151309,1,31401326,Manually Matched,840,CORNWALL,E06000052,191924.00,58982.00,50.3937955,-4.9288999,General Internal Position,2001-04-04,NULL
