uprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,poboxnumber,subname,name,number,streetname,locality,townname,islandname,postcode,fulladdress,country,alternatelanguagesubname,alternatelanguagename,alternatelanguagenumber,alternatelanguagestreetname,alternatelanguagelocality,alternatelanguagetownname,alternatelanguageislandname,alternatelanguage,alternatelanguagefulladdress,floorlevel,lowestfloorlevel,highestfloorlevel,classificationcode,classificationdescription,primaryclassificationdescription,secondaryclassificationdescription,tertiaryclassificationdescription,quaternaryclassificationdescription,buildstatus,buildstatusdate,addressstatus,postcodesource,parentuprn,rootuprn,hierarchylevel,usrn,usrnmatchindicator,localcustodiancode,localcustodiandescription,lowertierlocalauthoritygsscode,easting,northing,latitude,longitude,positionalaccuracy,effectivestartdate,effectiveenddate
185084646,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,2,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"2, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084646,1,50307002,Manually Matched,8132,BELFAST,NULL,142435.38,525499.35,54.5589721,-5.9853076,Central Internal Position,2016-01-29,NULL
185085404,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,24,GARRON CRESCENT,NULL,BELFAST,NULL,BT10 0EQ,"24, GARRON CRESCENT, BELFAST, BT10 0EQ",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185085404,1,50310448,Manually Matched,8132,BELFAST,NULL,142940.63,525303.53,54.5574734,-5.9773427,Central Internal Position,2016-01-29,NULL
185084660,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,8,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"8, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084660,1,50307002,Manually Matched,8132,BELFAST,NULL,142416.82,525481.86,54.5588059,-5.9855787,Central Internal Position,2016-01-29,NULL
185085393,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,14,GARRON CRESCENT,NULL,BELFAST,NULL,BT10 0EQ,"14, GARRON CRESCENT, BELFAST, BT10 0EQ",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185085393,1,50310448,Manually Matched,8132,BELFAST,NULL,142972.89,525281.70,54.5572940,-5.9768259,Central Internal Position,2016-01-29,NULL
185750405,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,BELFAST HEALTH & SOCIAL CARE TRUST,NULL,OFFICE GD FLOOR,FINAGHY HEALTH CENTRE,13-25,FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0BX,"BELFAST HEALTH & SOCIAL CARE TRUST, OFFICE GD FLOOR, FINAGHY HEALTH CENTRE, 13-25, FINAGHY ROAD SOUTH, BELFAST, BT10 0BX",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,Commercial,Commercial,NULL,NULL,NULL,Built Complete,2016-01-29,Approved,A record which has a classification indicating that it is capable of receiving mail but is not linked to a Royal Mail address,191013145,191013145,2,50309317,Manually Matched,8132,BELFAST,NULL,142494.96,525620.74,54.5600906,-5.9844949,Central Internal Position,2016-01-29,NULL
185084651,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,24,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"24, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084651,1,50307002,Manually Matched,8132,BELFAST,NULL,142360.05,525428.50,54.5582985,-5.9864076,Central Internal Position,2016-01-29,NULL
185085391,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,12,GARRON CRESCENT,NULL,BELFAST,NULL,BT10 0EQ,"12, GARRON CRESCENT, BELFAST, BT10 0EQ",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185085391,1,50310448,Manually Matched,8132,BELFAST,NULL,142982.60,525277.85,54.5572645,-5.9766728,Central Internal Position,2016-01-29,NULL
185878165,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,48,GARRON CRESCENT,NULL,BELFAST,NULL,BT10 0EQ,"48, GARRON CRESCENT, BELFAST, BT10 0EQ",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185878165,1,50310448,Manually Matched,8132,BELFAST,NULL,142856.92,525345.83,54.5578101,-5.9786710,Central Internal Position,2016-01-29,NULL
185084657,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,5,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"5, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084657,1,50307002,Manually Matched,8132,BELFAST,NULL,142433.21,525532.66,54.5592696,-5.9853703,Central Internal Position,2016-01-29,NULL
185085428,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,46,GARRON CRESCENT,NULL,BELFAST,NULL,BT10 0EQ,"46, GARRON CRESCENT, BELFAST, BT10 0EQ",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD04,Terraced,Residential,Dwelling,Terraced,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185085428,1,50310448,Manually Matched,8132,BELFAST,NULL,142862.89,525345.32,54.5578085,-5.9785783,Central Internal Position,2016-01-29,NULL
187566600,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,IRWIN PRACTICE,NULL,PRACTICE 1,FINAGHY HEALTH CENTRE,13-25,FINAGHY ROAD SOUTH,NULL,BELFAST,NULL,BT10 0BX,"IRWIN PRACTICE, PRACTICE 1, FINAGHY HEALTH CENTRE, 13-25, FINAGHY ROAD SOUTH, BELFAST, BT10 0BX",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,Commercial,Commercial,NULL,NULL,NULL,Built Complete,2016-01-29,Approved,A record which has a classification indicating that it is capable of receiving mail but is not linked to a Royal Mail address,191013145,191013145,2,50309317,Manually Matched,8132,BELFAST,NULL,142494.96,525620.74,54.5600906,-5.9844949,Central Internal Position,2016-01-29,NULL
185084642,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,16,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"16, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084642,1,50307002,Manually Matched,8132,BELFAST,NULL,142389.26,525453.10,54.5585340,-5.9859786,Central Internal Position,2016-01-29,NULL
185084644,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Built Address,NULL,NULL,NULL,NULL,18,PORTER PARK,NULL,BELFAST,NULL,BT10 0BU,"18, PORTER PARK, BELFAST, BT10 0BU",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RD03,Semi-Detached,Residential,Dwelling,Semi-Detached,NULL,Built Complete,2016-01-29,Approved,A record which is linked to a Royal Mail address,NULL,185084644,1,50307002,Manually Matched,8132,BELFAST,NULL,142378.62,525445.98,54.5584647,-5.9861366,Central Internal Position,2016-01-29,NULL
