udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
3073963,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,ROYAL MAIL,NATIONAL RETURN LETTER CENTRE,NULL,NULL,20,NULL,DONEGALL QUAY,NULL,NULL,BELFAST,BT1 1AR,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,146777.57,530103.72,54.6024448,-5.9222915,Central Internal Position,Matched UPRN,NULL,NULL,185870402,Built Address,Direct,2016-04-26,Unknown,GeoPlace
3159277,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,29,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1Z,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142362.30,525466.45,54.5586399,-5.9864062,Central Internal Position,Matched UPRN,NULL,NULL,185084654,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159261,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,12,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142403.50,525466.94,54.5586653,-5.9857711,Central Internal Position,Matched UPRN,NULL,NULL,185084638,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160059,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,49,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142845.52,525376.92,54.5580830,-5.9788739,Central Internal Position,Matched UPRN,NULL,NULL,185085431,Built Address,Direct,2016-03-16,Automated,GeoPlace
51400719,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,56,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3R,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-11,2016-05-11,142828.60,525272.96,54.5571424,-5.9790441,Street Location,Matched UPRN,NULL,NULL,191011572,Non Addressable Object,Street,2025-07-24,Unknown,GeoPlace
3159280,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,5,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,2D,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142433.21,525532.66,54.5592696,-5.9853703,Central Internal Position,Matched UPRN,NULL,NULL,185084657,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160027,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,2,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1Q,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143010.97,525257.36,54.5570952,-5.9762174,Central Internal Position,Matched UPRN,NULL,NULL,185085399,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160034,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,26,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1Y,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142934.99,525308.03,54.5575109,-5.9774336,Central Internal Position,Matched UPRN,NULL,NULL,185085406,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160031,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,23,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1U,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142957.46,525324.17,54.5576670,-5.9771012,Central Internal Position,Matched UPRN,NULL,NULL,185085403,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159271,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,21,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1S,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142387.61,525492.39,54.5588854,-5.9860385,Central Internal Position,Matched UPRN,NULL,NULL,185084648,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160060,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,5,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,3F,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,143012.44,525286.34,54.5573558,-5.9762200,Central Internal Position,Matched UPRN,NULL,NULL,185085432,Built Address,Direct,2016-03-16,Automated,GeoPlace
3073973,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,EUROPEAN MAGAZINE SERVICES LTD,NULL,NULL,LOMBARD HOUSE 10-20,NULL,NULL,LOMBARD STREET,NULL,NULL,BELFAST,BT1 1BW,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,146310.46,529853.60,54.5999681,-5.9292888,General Internal Position,Matched UPRN,NULL,NULL,191047504,Built Address,Parent,2025-08-21,Automated,GeoPlace
3159262,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,13,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1F,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142415.73,525516.09,54.5591121,-5.9856254,Central Internal Position,Matched UPRN,NULL,NULL,185084639,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159274,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,24,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1W,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142360.05,525428.50,54.5582985,-5.9864076,Central Internal Position,Matched UPRN,NULL,NULL,185084651,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159281,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,6,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,2E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142422.23,525486.42,54.5588495,-5.9854992,Central Internal Position,Matched UPRN,NULL,NULL,185084658,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160032,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,24,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1W,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142940.63,525303.53,54.5574734,-5.9773427,Central Internal Position,Matched UPRN,NULL,NULL,185085404,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159265,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,16,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1J,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142389.26,525453.10,54.5585340,-5.9859786,Central Internal Position,Matched UPRN,NULL,NULL,185084642,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159279,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,4,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,2B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142430.97,525494.71,54.5589282,-5.9853716,Central Internal Position,Matched UPRN,NULL,NULL,185084656,Built Address,Direct,2016-03-16,Automated,GeoPlace
3073959,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,ROYAL MAIL,NULL,NULL,NULL,20,NULL,DONEGALL QUAY,NULL,NULL,BELFAST,BT1 1AA,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,146777.57,530103.72,54.6024448,-5.9222915,Central Internal Position,Matched UPRN,NULL,NULL,185870402,Built Address,Direct,2016-05-27,Automated,GeoPlace
3159259,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,10,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142407.91,525471.58,54.5587092,-5.9857071,Central Internal Position,Matched UPRN,NULL,NULL,185084636,Built Address,Direct,2016-03-16,Automated,GeoPlace
3162658,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,BALMORAL HOTEL,NULL,NULL,NULL,NULL,NULL,BLACKS ROAD,NULL,NULL,BELFAST,BT10 0ND,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,140675.99,525445.11,54.5575874,-6.0123989,Street Location,Matched UPRN,NULL,NULL,191009794,Non Addressable Object,Street,2025-07-23,Unknown,GeoPlace
3159282,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,7,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,2F,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142428.89,525529.02,54.5592347,-5.9854338,Central Internal Position,Matched UPRN,NULL,NULL,185084659,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160022,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,15,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1H,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142984.34,525309.83,54.5575521,-5.9766740,Central Internal Position,Matched UPRN,NULL,NULL,185085394,Built Address,Direct,2016-03-16,Automated,GeoPlace
3163822,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,HANNAHSTOWN CREDIT UNION LTD,NULL,NULL,GLENCOLIN EAST,NULL,NULL,GLEN ROAD,NULL,ANDERSONSTOWN,BELFAST,BT11 8AZ,Small User,1D,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,140268.77,527513.81,54.5759239,-6.0205076,Street Location,Matched UPRN,NULL,NULL,191010354,Non Addressable Object,Street,2025-07-23,Unknown,GeoPlace
3160021,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,14,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1G,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142972.89,525281.70,54.5572940,-5.9768259,Central Internal Position,Matched UPRN,NULL,NULL,185085393,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159276,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,27,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1Y,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142367.71,525471.01,54.5586836,-5.9863268,Central Internal Position,Matched UPRN,NULL,NULL,185084653,Built Address,Direct,2016-03-16,Automated,GeoPlace
3159278,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,3,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,2A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142441.04,525542.03,54.5593576,-5.9852577,Central Internal Position,Matched UPRN,NULL,NULL,185084655,Built Address,Direct,2016-03-16,Automated,GeoPlace
3160025,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,18,NULL,GARRON CRESCENT,NULL,NULL,BELFAST,BT10 0EQ,Small User,1N,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142961.53,525289.70,54.5573600,-5.9770082,Central Internal Position,Matched UPRN,NULL,NULL,185085397,Built Address,Direct,2016-03-16,Automated,GeoPlace
3073961,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,SOCIAL SECURITY AGENCY,ATTENDANCE ALLOWANCE BRANCH,NULL,CASTLE COURT,NULL,NULL,ROYAL AVENUE,NULL,NULL,BELFAST,BT1 1AL,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,145992.96,529944.03,54.6006193,-5.9342700,Central Internal Position,Matched UPRN,NULL,NULL,185000003,Historic Address,Direct,2016-03-16,Unknown,GeoPlace
3159258,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,1,NULL,PORTER PARK,NULL,NULL,BELFAST,BT10 0BU,Small User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142444.63,525548.75,54.5594197,-5.9852083,Central Internal Position,Matched UPRN,NULL,NULL,185084635,Built Address,Direct,2016-03-16,Automated,GeoPlace
27756214,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,1,NULL,MONAGH LINK,NULL,NULL,BELFAST,BT11 8QB,Small User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,142102.39,528552.47,54.5861737,-5.9931232,Central Internal Position,Matched UPRN,NULL,NULL,187249975,Built Address,Direct,2016-03-16,Unknown,GeoPlace
3073968,2025-09-24,2025-09-25T00:00:00.000Z,NULL,New,Address,Postcode Address File,PRIMARK LTD,NULL,NULL,1-27,NULL,NULL,CASTLE STREET,NULL,NULL,BELFAST,BT1 1BL,Large User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,146208.31,529786.06,54.5993112,-5.9308078,Central Internal Position,Matched UPRN,NULL,NULL,185000010,Built Address,Direct,2016-03-16,Automated,GeoPlace
